Institution Name,Classification,Research Classification,Highest Level of Degree Available,Physics Program (Y/N),Astronomy Program (Y/N),Astronomy Faculty (Y/N),NOTES,Latitude,Longitude,Address,Zip Code
South Carolina State University,HBCU,,Doctorate,Y,N,Y,"Dr. Triana Almeyda, Dr. Donald Walter",33.49878505,-80.84684338,"South Carolina State University, 300, Norman Street, New Brookland, Orangeburg County, South Carolina, 29115, United States",29117-0001
Virginia Union University,HBCU,,Doctorate,Y,N,N,No astronomy faculty,37.5617598,-77.45105979,"Virginia Union University, Brook Road, Gilpin Court, Richmond, Virginia, 23227, United States",23220
Grambling State University,HBCU,M1,Doctorate,Y,N,Y,"Dr. Lee Brit, Dr. Matthew Ware",32.51950275,-92.72116383,"Grambling State University, 403, Main Street, Grambling, Lincoln Parish, Louisiana, 71245, United States",71245
Lincoln University,HBCU,,Doctorate,Y,N,N,Dr. Victoria Lakey,39.8065518,-75.92870551,"Lincoln University, 1570, Baltimore Pike, Lower Oxford Township, Chester County, Pennsylvania, 19352, United States",19352-0999
Tougaloo College,HBCU,,Bachelor,Y,N,N,No astronomy faculty,32.4039168,-90.1595745,"Tougaloo College, North Tougaloo Boulevard, Jackson, Madison County, Mississippi, 39157, United States",39174
Lincoln University Jefferson City,HBCU,,Doctorate,Y,N,Y,Astronomy courses,38.56278625,-92.17237703,"Lincoln University, 820, Chestnut Street, Jefferson City, Cole County, Missouri, 65101, United States",65101
Fisk University,HBCU,,Master,Y,N,N,No astronomy faculty,36.16707125,-86.80390652,"Fisk University, 1000, 17th Avenue North, Nashville-Davidson, Davidson County, Tennessee, 37208, United States",37208-4501
Morehouse College,HBCU,,Bachelor,Y,N,Y,Concentration in astronomy,33.74737405,-84.41609506,"Morehouse College, Joseph E. Lowery Boulevard, Collegetown, Atlanta, Fulton County, Georgia, 30314, United States",30314
Dillard University,HBCU,,Bachelor,Y,N,N,No astronomy faculty,29.9962374,-90.06536777,"Dillard University, Pleasure Street, New Orleans, Orleans Parish, Louisiana, 70122, United States",70122
Benedict College,HBCU,,Doctorate,Y,N,N,No astronomy faculty,34.01396275,-81.02097289,"Benedict College, 1600, Harden Street, Allen Benedict Court, Columbia, Richland County, South Carolina, 29204, United States",29204-1086
Wilberforce University,HBCU,,Master,N,N,N,No physics department,39.70859065,-83.87895696,"Wilberforce University, 1055, North Bickett Road, Wilberforce, Xenia, Xenia Township, Greene County, Ohio, 45384, United States",45384-1001
Lane College,HBCU,,Bachelor,Y,N,N,No astronomy faculty,35.6282633,-88.80669167,"Lane College, 545, Lane Avenue, Allenton Heights, Jackson, Madison County, Tennessee, 38301, United States",38301-4598
University of the Virgin Islands,HBCU,,Doctorate,Y,Y,Y,Concentration in astronomy,18.33971,-64.96404,"St. Thomas, Charlotte Amalie West, St. Thomas, 00802, United States Virgin Islands",802
